tax_id,city,zip,beds,baths,sqft,year_built,property_type,sale_date,sale_price,lat,lng,sale_day,sale_month,sale_year
801362,Dillon,80435,3,2,1760,1995,Sfr,2017-04-28,425100,39.63986110000001,-106.0375443,28,4,2017
801368,Dillon,80435,3,2,1750,1994,Sfr,2017-06-30,505000,39.64051660000001,-106.0365939,30,6,2017
900151,Dillon,80435,3,2,996,1967,Condominium,2017-07-10,322500,39.63066110000001,-106.0393748,10,7,2017
801367,Dillon,80435,3,2,1750,1994,Sfr,2017-11-10,415000,39.6403645,-106.0367637,10,11,2017
801279,Dillon,80435,2,3,1828,1981,Sfr,2017-11-01,459000,39.6405887,-106.0409682,1,11,2017
800885,Dillon,80435,1,1,584,1977,Condominium,2017-06-23,184000,39.642746,-106.0353308,23,6,2017
800818,Dillon,80435,1,1,584,1976,Condominium,2017-06-16,164600,39.6414769,-106.0375528,16,6,2017
800415,Dillon,80435,1,1,359,1972,Condominium,2017-08-30,149900,39.643349,-106.034926,30,8,2017
800687,Dillon,80435,1,1,554,1969,Condominium,2017-10-11,183000,39.633455,-106.044845,11,10,2017
800444,Dillon,80435,1,1,584,1974,Condominium,2017-01-09,159000,39.6412039,-106.0390537,9,1,2017
800624,Dillon,80435,1,1,584,1973,Condominium,2017-08-15,161000,39.643559,-106.0337387,15,8,2017
800425,Dillon,80435,5,3,3000,1978,Sfr,2017-09-22,605000,39.63461160000001,-106.0460393,22,9,2017
800888,Dillon,80435,2,2,762,1977,Condominium,2017-01-17,218000,39.642746,-106.0353308,17,1,2017
800755,Dillon,80435,2,2,762,1972,Condominium,2017-09-28,244000,39.64347,-106.0343989,28,9,2017
800393,Dillon,80435,3,2,1007,1972,Condominium,2017-05-19,290000,39.643985,-106.033842,19,5,2017
800308,Dillon,80435,1,1,584,1974,Condominium,2017-07-18,165000,39.64098480000001,-106.0395169,18,7,2017
800890,Dillon,80435,1,1,584,1977,Condominium,2017-01-31,174000,39.642746,-106.0353308,31,1,2017
800684,Dillon,80435,1,1,359,1972,Condominium,2017-08-29,153000,39.643349,-106.034926,29,8,2017
800448,Dillon,80435,1,1,584,1972,Condominium,2017-06-23,182000,39.64347,-106.0343989,23,6,2017
800472,Dillon,80435,1,1,578,1969,Condominium,2017-06-20,179000,39.63366200000001,-106.044335,20,6,2017
800752,Dillon,80435,3,2,1288,1993,Sfr,2017-06-03,420100,39.63460070000001,-106.0467829,3,6,2017
800678,Dillon,80435,4,3,2188,1978,Sfr,2017-05-31,559900,39.637657,-106.0403453,31,5,2017
